id,chat_id,message_id,chat_title,sender,message,message_thread_id,date,time
22,-1002211098365,575,Production Reporting,Mohamed_Said_97,"""exc"": ""[\""Traceback (most recent call last):\\n  File \\\""/home/frappe/frappe-bench/apps/frappe/frappe/app.py\\\"", line 82, in application\\n    response = frappe.api.handle()\\n  File \\\""/home/frappe/frappe-bench/apps/frappe/frappe/api.py\\\"", line 55, in handle\\n    return frappe.handler.handle()\\n  File \\\""/home/frappe/frappe-bench/apps/frappe/frappe/handler.py\\\"", line 31, in handle\\n    data = execute_cmd(cmd)\\n  File \\\""/home/frappe/frappe-bench/apps/frappe/frappe/handler.py\\\"", line 67, in execute_cmd\\n    return frappe.call(method, **frappe.form_dict)\\n  File \\\""/home/frappe/frappe-bench/apps/frappe/frappe/init.py\\\"", line 1177, in call\\n    return fn(*args, **newargs)\\nTypeError: get_terms_and_conditions() missing 1 required positional argument: 'lang'\\n\""]""",Meetings & General Conversations,2024-07-18,10:37:54
30,-1002211098365,583,Production Reporting,Nadanabil24,"MOM for Meeting 18/7

Participants:
- Nada Nabil
- Diab

Objective:
-Discuss the Mapping projects for Vconnct
- Who will assigned to edit and put the Links of user stories in the Sheet
- create the User stories for all the Projects we currently work on 
- the links will be Added to the sheets from Jira, Figma, and Assets from the user story created PDF",Meetings & General Conversations,2024-07-18,11:49:45
36,-1002211098365,589,Production Reporting,Shaimaedris9,"18/07 Daily tasks
- Continue research on the UX Writing and work on the document and the use of the AI in it.
- Review 0n some UX writing in the API.
- Attended Abdlhakem roleplay.
-------------------------------------------------------------------------------------------------
17/07 Daily tasks
- Continue research on the UX Writing and work on the document.
- Meeting with Eman regarding the new UI and UX of the API documentation and get from her the structure and features.
- Review The blogs that Yousra finished for Chats product.",Meetings & General Conversations,2024-07-18,14:33:31
40,-1002211098365,593,Production Reporting,Loly_re,"18/7 daily report: 

-R & D daily meeting
-Dev Meeting
-Meeting with someone of dev team to solve my git problem on PC
-Meeting with abdelghafaur for giving me his notes
Edit all screens layouts & buttons
-Turned some pop ups screens with Material 3
-Meeting with Nada & Serag to give me their feedback",Meetings & General Conversations,2024-07-18,16:39:47
47,-1002211098365,600,Production Reporting,Amr_ElBerry,"18/7 

-started studying moodlecloud

- finished list of all changes in Lms rebranding 

- worked on Lms wireframe

-attended Abdelhakim’s roleplay",Meetings & General Conversations,2024-07-18,19:39:57
50,-1002211098365,603,Production Reporting,MohamadElrayes,"Daily Status 18/7

Finished the implementation of checkout page except for the promo code.",Meetings & General Conversations,2024-07-18,20:57:22
51,-1002211098365,604,Production Reporting,ahmadsamir22,"Daily Status 18/7

- Create a new API to check the promo code validity ( not valid - expired - limit reached - user limit reached )
- Update get cart order API response data
- Update calculate order API response data
- change annual pricing from (monthly price × 12) to (monthly price × 10) %16 discount
- Helped Alaa with her tasks (clone and push changes to the remote git repository and setup and run the project)",Meetings & General Conversations,2024-07-18,23:58:28
60,-1002211098365,613,Production Reporting,AhmedKhalifaDev,"Hello,

Recently, our work on V.chats has focused on updating the application to support the latest versions of Android API level 34. 

We've come across a great library called WatermelonDB 🍉, which we are currently exploring to see how it can help us enhance the app to be offline-first. This approach can significantly boost the application's speed (we're still in the research phase).

Just wanted to share these updates with you.",Meetings & General Conversations,2024-07-19,12:52:31
61,-1002211098365,614,Production Reporting,zeinabahmed_2,"17/07 Daily Tasks:
ᯓ Daily R&D meeting

ᯓ Attended UI/UX Figma workshop discussing components, held by Serag and Abdelghaffar

ᯓ Wrote the Figma Workshop Meeting Minutes

ᯓ Discussion with Toaa about some tools in Figma

ᯓ Conference Room System:
• Finalized the redesign of all the forms inside the dashboard
• Started working on the prototype
• Started the research on Logitech partner programs",Meetings & General Conversations,2024-07-19,13:10:50
62,-1002211098365,615,Production Reporting,zeinabahmed_2,"18/07 Daily Tasks:
ᯓ Daily R&D meeting

ᯓ Attended Abdelhakim’s Demo

ᯓ Supported Eman with the Price & Plan Page Design

ᯓ Long meeting with Eweida, where he fully explained Webinar 1.5 flow and key features, as well as the competitor (Livestorm). We also discussed future planning for Webinar version 2. We set up a meeting next week to discuss Version 1.5 updates and bugs, and to start on version 2 requirement gathering and market research.

He also explained the Inmate Visitation system by showcasing the idea and system screen designs, and discussed the next planned steps.

ᯓ Conference Room System:
•  Continued working on the prototype",Meetings & General Conversations,2024-07-19,13:11:26
